date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:53:20	93089/93089	---M--	200	added ('OK')	image/jpeg	etag:%2216ba1-601df9783c968%22	https://interportglobal.com/img/bg/rail-freight.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/rail-freight.jpg	(from https://interportglobal.com/css/mystyle.css)
17:53:20	56335/56335	---M--	200	added ('OK')	image/jpeg	etag:%22dc0f-601df9783f84a%22	https://interportglobal.com/img/bg/road-freight.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/road-freight.jpg	(from https://interportglobal.com/css/mystyle.css)
17:53:20	60776/60776	---M--	200	added ('OK')	image/jpeg	etag:%22ed68-601df978753bf%22	https://interportglobal.com/img/bg/vessel-handling.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/vessel-handling.jpg	(from https://interportglobal.com/css/mystyle.css)
17:53:20	57082/57082	---M--	200	added ('OK')	image/jpeg	etag:%22defa-601df974e9eb1%22	https://interportglobal.com/img/bg/about-banner.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/about-banner.jpg	(from https://interportglobal.com/css/mystyle.css)
17:53:20	282/282	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Oct%202024%2012:23:23%20GMT	https://interportglobal.com/img/bg/ivrs.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/ivrs.jpg	(from https://interportglobal.com/css/mystyle.css)
17:53:21	97104/97104	---M--	200	added ('OK')	image/jpeg	etag:%2217b50-601df975edb5a%22	https://interportglobal.com/img/bg/mob-careers-banner.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-careers-banner.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:21	128904/128904	---M--	200	added ('OK')	image/jpeg	etag:%221f788-601df976cb693%22	https://interportglobal.com/img/bg/mob-india-info.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-india-info.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:21	52925/52925	---M--	200	added ('OK')	image/jpeg	etag:%22cebd-601df9771a853%22	https://interportglobal.com/img/bg/mob-print-your-bill-of-lading.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-print-your-bill-of-lading.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:21	147467/147467	---M--	200	added ('OK')	image/jpeg	etag:%222400b-601df9769f762%22	https://interportglobal.com/img/bg/mob-import-export-consolidation.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-import-export-consolidation.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:22	65350/65350	---M--	200	added ('OK')	image/jpeg	etag:%22ff46-601df975e7d98%22	https://interportglobal.com/img/bg/mob-break-bulk.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-break-bulk.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:22	194546/194546	---M--	200	added ('OK')	image/jpeg	etag:%222f7f2-601df9764a7df%22	https://interportglobal.com/img/bg/mob-end-to-end-logistics.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-end-to-end-logistics.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:23	80994/80994	---M--	200	added ('OK')	image/jpeg	etag:%2213c62-601df9767d474%22	https://interportglobal.com/img/bg/mob-heavy-lift.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-heavy-lift.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:23	82759/82759	---M--	200	added ('OK')	image/jpeg	etag:%2214347-601df9762c373%22	https://interportglobal.com/img/bg/mob-door-to-door-delivery.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-door-to-door-delivery.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:23	90081/90081	---M--	200	added ('OK')	image/jpeg	etag:%2215fe1-601df976cb693%22	https://interportglobal.com/img/bg/mob-iso-tanks-flexi-tanks.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-iso-tanks-flexi-tanks.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:24	213381/213381	---M--	200	added ('OK')	image/jpeg	etag:%2234185-601df976f27a3%22	https://interportglobal.com/img/bg/mob-nvocc.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-nvocc.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:24	92462/92462	---M--	200	added ('OK')	image/jpeg	etag:%221692e-601df9773ac00%22	https://interportglobal.com/img/bg/mob-project-logistics.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-project-logistics.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:25	77120/77120	---M--	200	added ('OK')	image/jpeg	etag:%2212d40-601df977a728c%22	https://interportglobal.com/img/bg/mob-transportation-%20distribution.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-transportation-%20distribution.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:25	116288/116288	---M--	200	added ('OK')	image/jpeg	etag:%221c640-601df977e4b05%22	https://interportglobal.com/img/bg/mob-warehousing.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-warehousing.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:26	111074/111074	---M--	200	added ('OK')	image/jpeg	etag:%221b1e2-601df9764f601%22	https://interportglobal.com/img/bg/mob-exhibition-cargo.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-exhibition-cargo.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:26	272130/272130	---M--	200	added ('OK')	image/jpeg	etag:%2242702-601df976870b8%22	https://interportglobal.com/img/bg/mob-hazardous-cargo.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-hazardous-cargo.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:26	66201/66201	---M--	200	added ('OK')	image/jpeg	etag:%2210299-601df97739c60%22	https://interportglobal.com/img/bg/mob-project-cargo.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-project-cargo.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:27	33820/33820	---M--	200	added ('OK')	image/jpeg	etag:%22841c-601df9776e835%22	https://interportglobal.com/img/bg/mob-rfid-solutions.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-rfid-solutions.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:28	45681/45681	---M--	200	added ('OK')	image/jpeg	etag:%22b271-601df977aef8f%22	https://interportglobal.com/img/bg/mob-turnkey-projects.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-turnkey-projects.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:29	394440/394440	---M--	200	added ('OK')	image/jpeg	etag:%22604c8-601df977d415e%22	https://interportglobal.com/img/bg/mob-warehouse-management.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-warehouse-management.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:29	112055/112055	---M--	200	added ('OK')	image/jpeg	etag:%221b5b7-601df976f27a3%22	https://interportglobal.com/img/bg/mob-logistics-solutions.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-logistics-solutions.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:29	64681/64681	---M--	200	added ('OK')	image/jpeg	etag:%22fca9-601df976071a4%22	https://interportglobal.com/img/bg/mob-cargo-insurance.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-cargo-insurance.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:29	87409/87409	---M--	200	added ('OK')	image/jpeg	etag:%2215571-601df97608145%22	https://interportglobal.com/img/bg/mob-container-freight-station.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-container-freight-station.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:29	109070/109070	---M--	200	added ('OK')	image/jpeg	etag:%221aa0e-601df97627551%22	https://interportglobal.com/img/bg/mob-custom-clearance.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-custom-clearance.jpg	(from https://interportglobal.com/css/responsive.css)
